GKZ,Name_gemeinde,HArzt_access,NotfallA_access
1053041,Groß Grönau,1.74,7.1
1053042,Groß Pampau,9.71,26.7
1053043,Groß Sarau,6.15,13.9
1053044,Groß Schenkenberg,10.67,16.89
1053045,Grove,6.36,23.13
1053046,Gudow,4.45,24.95
1053047,Gülzow,1.36,11.48
1053048,Güster,11.72,32.24
1053049,Hamfelde,4.09,24.99
1053050,Hamwarde,4.67,7.51
1053051,Harmsdorf,4.36,11.89
1053052,Havekost,9.25,24.37
1053053,Hohenhorn,3.88,10.4
1053054,Hollenbek,6.18,17.51
1053056,Hornbek,7.9,26.93
1053057,Horst,7.46,15.47
1053058,Juliusburg,5.72,15.73
1053059,Kankelau,13.06,28.49
1053060,Kasseburg,5.7,19.39
1053061,Kastorf,1.57,21.7
1053062,Kittlitz,9.14,16.48
1053064,Klein Pampau,7.4,29.27
1053066,Klein Zecher,10.16,22.57
1053067,Klempau,4.91,18.11
1053068,Klinkrade,5.93,25.32
1053069,Koberg,7.33,29.08
1053070,Köthel,7.85,29.62
1053071,Kollow,4.97,11.66
1053072,Kröppelshagen-Fahrendorf,4.32,10.44
1053073,Krüzen,5.32,17.92
1053074,Krukow,3.93,11.34
1053075,Krummesse,2.42,16.16
1053076,Kuddewörde,4.18,19.09
1053077,Kühsen,4.66,19.54
1053078,Kulpin,6.05,13.92
1053079,Labenz,5.82,26.69
1053080,Langenlehsten,8.36,23.42
1053081,Lankau,7.73,17.11
1053082,Lanze,7.54,14.4
1053083,"Lauenburg/ Elbe, Stadt",2.93,14.17
1053084,Lehmrade,7.08,21.16
1053085,Linau,10.33,28.84
1053086,Lüchow,6.2,31.55
1053087,Lütau,4.96,16.4
1053088,Mechow,3.94,5.8
1053089,Möhnsen,9.95,21.63
1053090,"Mölln, Stadt",3.37,16.64
1053091,Mühlenrade,6.65,28.02
1053092,Müssen,7.55,25.41
1053093,Mustin,7.14,10.02
1053094,Niendorf bei Berkenthin,5.54,22.37
1053095,Niendorf/ Stecknitz,5.15,23.64
1053096,Nusse,1.83,23.01
1053097,Panten,5.87,22.2
1053098,Pogeez,8.03,15.65
1053099,Poggensee,3.6,24.5
1053100,"Ratzeburg, Stadt",1.92,6.69
1053101,Ritzerau,1.7,24.02
1053102,Römnitz,6.98,10.26
1053103,Rondeshagen,4.28,21.4
1053104,Roseburg,8.0,29.94
1053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",-9999.0,16.57
1053106,Sahms,6.79,23.48
1053107,Salem,8.84,12.11
1053108,Sandesneben,2.02,28.51
1053109,Schiphorst,6.76,25.29
1053110,Schmilau,4.93,6.13
1053111,Schnakenbek,6.28,14.69
1053112,Schönberg,7.09,22.39
1053113,Schretstaken,9.14,26.19
1053114,Schürensöhlen,8.13,17.76
1053115,Schulendorf,5.93,21.92
1053116,"Schwarzenbek, Stadt",2.63,18.89
1053117,Seedorf,8.23,15.96
1053118,Siebenbäumen,3.56,19.53
1053119,Siebeneichen,4.5,30.08
1053120,Sierksrade,3.61,21.98
1053121,Sirksfelde,5.29,28.72
1053122,Steinhorst,9.04,22.85
1053123,Sterley,3.14,12.2
1053124,Stubben,7.65,19.09
1053125,Talkau,6.88,23.77
1053126,Tramm,8.48,27.03
1053127,Walksfelde,6.09,25.75
1053128,Wangelau,7.66,19.76
1053129,Wentorf bei Hamburg,1.9,4.44
1053130,Wentorf (Amt Sandesneben),4.07,27.28
1053131,Wiershop,4.1,8.01
1053132,Witzeeze,5.17,22.54
1053133,Wohltorf,2.05,8.4
1053134,Woltersdorf,5.34,25.13
1053135,Worth,6.33,8.98
1053136,Ziethen,3.98,5.9
1054001,Achtrup,3.8,20.66
1054002,Ahrenshöft,11.27,13.5
1054003,Ahrenviöl,6.02,18.24
1054004,Ahrenviölfeld,10.75,24.23
1054005,Alkersum,4.12,10.53
1054006,Almdorf,8.99,17.23
1054007,Arlewatt,8.04,10.76
1054009,Aventoft,7.66,18.6
1054010,Bargum,7.2,17.17
1054011,Behrendorf,4.77,20.09
1054012,Bohmstedt,11.38,18.15
1054013,Bondelum,8.37,24.13
1054014,Bordelum,6.76,23.85
1054015,Borgsum,4.9,12.95
1054016,Bosbüll,7.96,7.35
1054017,Braderup,5.52,9.31
1054018,Bramstedtlund,10.86,23.96
1054019,"Bredstedt, Stadt",2.09,22.43
1054020,Breklum,5.32,20.78
1054022,Dagebüll,13.73,18.33
1054023,Drage,8.46,25.28
1054024,Drelsdorf,9.55,22.93
1054025,Dunsum,3.07,15.97
1054026,Elisabeth-Sophien-Koog,6.54,18.7
1054027,Ellhöft,6.79,16.17
1054032,Fresendelf,9.2,30.64
1054033,"Friedrichstadt, Stadt",2.17,18.92
1054034,Friedrich-Wilhelm-Lübke-Koog,7.58,19.98
1054035,"Garding, Kirchspiel",4.12,31.26
1054036,"Garding, Stadt",1.86,30.49
1054037,Goldebek,3.84,24.49
1054038,Goldelund,6.37,26.66
1054039,Gröde,7.82,144.93
1054040,Grothusenkoog,7.88,29.94
1054041,Haselund,5.2,19.75
1054042,Hattstedt,2.72,9.05
1054043,Hattstedtermarsch,6.8,15.21
1054045,Högel,9.71,29.72
1054046,Hörnum (Sylt),2.28,25.69
1054048,Holm,8.29,8.76
1054050,Hallig Hooge,73.95,70.91
1054052,Horstedt,5.57,8.63
1054054,Hude,4.24,28.23
1054055,Humptrup,4.62,14.14
1054056,"Husum, Stadt",2.56,5.32
1054057,Immenstedt,4.42,13.94
1054059,Joldelund,2.65,27.32
1054061,Kampen (Sylt),2.74,7.91
1054062,Karlum,8.13,13.71
1054063,Katharinenheerd,5.05,26.22
1054065,Klanxbüll,2.59,15.64
1054068,Klixbüll,6.42,6.9
1054070,Koldenbüttel,6.66,16.51
1054071,Kolkerheide,6.9,25.9
1054072,Kotzenbüll,3.89,22.21
1054073,Ladelund,9.25,20.46
1054074,Langeneß,3.58,138.38
1054075,Langenhorn,4.71,19.58
1054076,Leck,3.1,13.33
1054077,Lexgaard,6.13,12.41
1054078,List auf Sylt,3.56,16.66
1054079,Löwenstedt,9.11,24.88
1054080,Lütjenholm,8.75,22.69
1054083,Midlum,5.83,12.66
1054084,Mildstedt,2.38,8.79
1054085,Nebel,2.53,74.97
1054086,Neukirchen,3.06,14.84
1054087,Nieblum,6.82,9.91
1054088,"Niebüll, Stadt",3.81,6.06
1054089,Norddorf auf Amrum,2.3,80.68
1054090,Norderfriedrichskoog,8.98,24.94
1054091,Nordstrand,5.27,20.73
1054092,Norstedt,7.0,21.67
1054093,Ockholm,11.25,22.39
1054094,Oevenum,4.74,11.72
1054095,Oldenswort,4.46,20.53
1054096,Oldersbek,5.68,15.58
1054097,Olderup,6.56,12.02
1054098,Oldsum,6.52,14.56
1054099,Ostenfeld (Husum),2.54,17.82
1054100,Osterhever,9.46,31.43
1054101,Oster-Ohrstedt,4.15,17.08
1054103,Pellworm,6.03,75.19
1054104,Poppenbüll,6.96,35.5
1054105,Ramstedt,1.73,23.27
1054106,Rantrum,2.56,14.0
1054108,Reußenköge,8.84,24.4
1054109,Risum-Lindholm,4.66,8.28
1054110,Rodenäs,6.12,19.43
1054113,Sankt Peter-Ording,2.54,38.08
1054116,Schwabstedt,2.04,24.75
1054118,Schwesing,4.42,9.75
1054119,Seeth,5.26,24.8
1054120,Simonsberg,9.12,12.0
1054121,Sönnebüll,4.64,24.42
1054123,Sollwitt,6.92,22.09
1054124,Sprakebüll,7.01,20.65
1054125,Stadum,8.7,19.79
1054126,Stedesand,6.92,11.6
1054128,Struckum,6.98,16.38
1054129,Süderende,4.36,15.32
1054130,Süderhöft,6.36,30.24
1054131,Süderlügum,2.72,12.6
1054132,Südermarsch,7.3,11.1
1054134,Tating,3.0,35.16
1054135,Tetenbüll,9.19,28.56
1054136,Tinningstedt,8.39,9.42
1054138,"Tönning, Stadt",4.63,23.93
1054140,Tümlauer Koog,4.94,39.06
1054141,Uelvesbüll,8.73,18.54
1054142,Uphusum,7.48,10.56
1054143,Utersum,2.45,17.81
1054144,Viöl,2.23,16.28
1054145,Vollerwiek,6.79,28.94
1054146,Vollstedt,8.07,24.29
1054148,Welt,6.02,27.87
1054149,Wenningstedt-Braderup (Sylt),1.94,4.3
1054150,Westerhever,11.17,40.51
1054152,Wester-Ohrstedt,4.0,16.08
1054154,Westre,8.98,18.66
1054156,Winnert,6.62,21.45
1054157,Wisch,4.54,20.83
1054158,Witsum,4.79,14.41
1054159,Wittbek,6.51,19.21
1054160,Wittdün auf Amrum,1.37,68.1
1054161,Witzwort,7.36,15.32
1054162,Wobbenbüll,4.67,10.5
1054163,Wrixum,4.08,5.52
1054164,"Wyk auf Föhr, Stadt",2.27,3.46
1054165,Galmsbüll,9.26,13.08
1054166,Emmelsbüll-Horsbüll,7.92,15.36
1054167,Enge-Sande,10.61,17.11
1054168,Sylt,3.76,11.25
1055001,Ahrensbök,4.62,20.47
1055002,Altenkrempe,10.45,15.4
1055004,"Bad Schwartau, Stadt",2.24,15.74
1055006,Beschendorf,5.44,14.79
1055007,Bosau,5.52,15.31
1055010,Dahme,2.85,25.88
1055011,Damlos,7.13,8.06
1055012,"Eutin, Stadt",3.5,6.81
1055014,Göhl,6.52,9.33
1055015,Gremersdorf,6.94,10.48
1055016,Grömitz,3.39,17.81
1055017,Großenbrode,3.68,13.37
1055018,Grube,2.38,18.9
1055020,Harmsdorf,5.86,16.01
1055021,"Heiligenhafen, Stadt",3.27,12.87
1055022,Heringsdorf,6.0,16.95
1055023,Kabelhorst,4.64,10.61
1055024,Kasseedorf,9.35,16.14
1055025,Kellenhusen (Ostsee),1.29,22.78
1055027,Lensahn,2.86,11.42
1055028,Malente,5.22,14.71
1055029,Manhagen,7.66,14.63
1055031,Neukirchen,4.79,16.8
1055032,"Neustadt in Holstein, Stadt",3.03,5.33
1055033,"Oldenburg in Holstein, Stadt",3.18,4.65
1055035,Ratekau,3.43,16.1
1055036,Riepsdorf,3.96,15.46
1055037,Schashagen,8.04,13.53
1055038,Schönwalde am Bungsberg,4.31,18.94
1055039,Sierksdorf,3.79,11.44
1055040,Stockelsdorf,5.04,16.28
1055041,Süsel,5.58,11.84
1055042,Timmendorfer Strand,1.97,10.68
1055043,Wangels,6.11,13.19
1055044,Scharbeutz,3.67,16.91
1055046,"Fehmarn, Stadt",5.62,11.02
1056001,Appen,3.67,12.79
1056002,"Barmstedt, Stadt",3.04,14.61
1056003,Bevern,7.7,10.04
1056004,Bilsen,5.42,19.04
1056005,Bönningstedt,2.25,9.11
1056006,Bokel,4.04,21.74
1056008,Bokholt-Hanredder,5.2,10.11
1056009,Borstel-Hohenraden,4.11,9.43
1056010,Brande-Hörnerkirchen,3.51,17.76
1056011,Bullenkuhlen,6.41,9.95
1056013,Ellerbek,3.28,6.6
1056014,Ellerhoop,8.3,10.03
1056015,"Elmshorn, Stadt",2.51,6.07
1056016,Groß Nordende,4.58,12.89
1056017,Groß Offenseth-Aspern,5.53,12.86
1056018,Halstenbek,2.74,8.25
1056019,Haselau,5.55,24.57
1056020,Haseldorf,2.35,26.8
1056021,Hasloh,2.55,13.67
1056022,Heede,5.25,16.38
1056023,Heidgraben,4.78,13.91
1056024,Heist,1.92,21.67
1056025,Helgoland,0.0,134.67
1056026,Hemdingen,8.13,15.88
1056027,Hetlingen,4.61,21.99
1056028,Holm,2.02,17.13
1056029,Klein Nordende,6.08,10.81
1056030,Klein Offenseth-Sparrieshoop,8.43,10.65
1056031,Kölln-Reisiek,4.87,6.05
1056032,Kummerfeld,4.75,8.91
1056033,Seester,7.72,13.22
1056034,Langeln,8.4,21.44
1056035,Lutzhorn,6.53,17.01
1056036,Moorrege,2.81,19.02
1056037,Neuendeich,6.39,19.02
1056038,Osterhorn,3.09,19.83
1056039,"Pinneberg, Stadt",2.22,7.77
1056040,Prisdorf,2.78,9.76
1056041,"Quickborn, Stadt",2.82,16.32
1056042,Raa-Besenbek,5.36,11.28
1056043,Rellingen,2.51,5.46
1056044,"Schenefeld, Stadt",1.89,11.61
1056045,Seestermühe,13.08,19.78
1056046,Seeth-Ekholt,6.79,6.3
1056047,Tangstedt,6.29,9.62
1056048,"Tornesch, Stadt",3.0,11.91
1056049,"Uetersen, Stadt",2.09,16.05
1056050,"Wedel, Stadt",2.88,11.94
1056051,Westerhorn,3.16,20.33
1057001,Ascheberg (Holstein),3.35,19.89
1057002,Barmissen,3.0,13.12
1057003,Barsbek,7.46,24.17
1057004,Behrensdorf (Ostsee),7.22,27.32
1057005,Belau,7.6,25.56
1057006,Bendfeld,6.11,25.12
1057007,Blekendorf,6.05,17.45
1057008,Bönebüttel,6.35,7.89
1057009,Bösdorf,4.84,12.96
1057010,Boksee,7.61,16.31
1057011,Bothkamp,7.64,19.55
1057012,Brodersdorf,4.17,21.01
1057013,Dannau,9.93,21.42
1057015,Dersau,4.33,25.25
1057016,Dobersdorf,6.72,13.06
1057017,Dörnick,5.53,19.58
1057018,Fahren,9.65,20.52
1057020,Fiefbergen,3.5,24.41
1057021,Giekau,7.7,25.49
1057022,Grebin,7.13,19.03
1057023,Großbarkau,5.82,10.26
1057024,Großharrie,5.08,14.11
1057025,Heikendorf,2.54,19.46
1057026,Helmstorf,4.8,23.83
1057027,Högsdorf,9.81,22.68
1057028,Höhndorf,3.08,20.2
1057029,Hohenfelde,10.47,30.39
1057030,Hohwacht (Ostsee),1.8,20.56
1057031,Honigsee,7.92,12.04
1057032,Kalübbe,6.2,26.25
1057033,Kirchbarkau,1.57,14.8
1057034,Kirchnüchel,8.55,18.54
1057035,Klamp,4.83,23.83
1057037,Klein Barkau,4.62,13.25
1057038,Kletkamp,9.71,22.13
1057039,Köhn,10.89,27.8
1057040,Krokau,4.24,26.51
1057041,Krummbek,3.7,23.51
1057042,Kühren,8.13,10.69
1057043,Laboe,2.23,23.45
1057044,Lammershagen,4.15,20.42
1057045,Lebrade,8.5,15.29
1057046,Lehmkuhlen,9.09,9.97
1057047,Löptin,9.38,12.88
1057048,"Lütjenburg, Stadt",1.84,22.23
1057049,Lutterbek,7.22,21.87
1057050,Martensrade,5.6,14.36
1057051,Mönkeberg,1.81,16.97
1057052,Mucheln,7.6,16.08
1057053,Nehmten,7.78,25.83
1057054,Nettelsee,7.42,15.02
1057055,Panker,8.88,29.12
1057056,Passade,4.29,23.03
1057057,"Plön, Stadt",2.33,16.48
1057058,Pohnsdorf,5.37,7.66
1057059,Postfeld,7.64,10.26
1057060,Prasdorf,6.22,23.91
1057062,"Preetz, Stadt",3.21,4.2
1057063,Probsteierhagen,2.84,20.92
1057065,Rantzau,11.22,22.34
1057066,Rastorf,6.08,10.16
1057067,Rathjensdorf,6.41,14.73
1057068,Rendswühren,6.72,14.88
1057069,Ruhwinkel,3.66,20.01
1057070,Schellhorn,4.84,5.82
1057071,Schillsdorf,5.36,17.16
1057072,Schlesen,9.52,13.9
1057073,Schönberg (Holstein),2.46,27.18
1057074,Schönkirchen,3.36,15.39
1057076,Schwartbuck,10.79,30.43
1057077,Selent,1.5,16.76
1057078,Stakendorf,5.56,26.28
1057079,Stein,7.29,25.46
1057080,Stolpe,5.66,19.1
1057081,Stoltenberg,7.82,18.4
1057082,Tröndel,12.84,30.44
1057083,Tasdorf,4.85,7.9
1057084,Wahlstorf,8.62,11.6
1057085,Wankendorf,2.66,22.67
1057086,Warnau,5.72,17.84
1057087,Wendtorf,8.98,25.13
1057088,Wisch,8.94,29.91
1057089,Wittmoldt,7.44,13.68
1057090,Fargau-Pratjau,8.54,18.1
1057091,"Schwentinental, Stadt",2.78,9.43
1058001,Achterwehr,4.43,12.94
1058003,Alt Duvenstedt,3.71,13.22
1058004,Altenhof,5.6,12.92
1058005,Altenholz,2.31,9.4
1058007,Arpsdorf,12.3,17.77
1058008,Ascheffel,10.76,18.62
1058009,Aukrug,3.74,19.81
1058010,Bargstall,7.19,23.02
1058011,Bargstedt,9.51,23.44
1058012,Barkelsby,4.21,6.64
1058013,Beldorf,6.63,22.94
1058014,Bendorf,8.01,18.29
1058015,Beringstedt,5.64,25.01
1058016,Bissee,1.81,21.79
1058018,Blumenthal,8.62,14.2
1058019,Böhnhusen,5.11,21.9
1058021,Bokel,10.01,20.32
1058022,Bordesholm,2.42,19.07
1058023,Borgdorf-Seedorf,4.18,21.03
1058024,Borgstedt,2.99,12.45
1058025,Bornholt,10.96,19.76
1058026,Bovenau,6.88,20.64
1058027,Brammer,7.64,17.61
1058028,Bredenbek,2.82,17.09
1058029,Breiholz,6.96,23.58
1058030,Brekendorf,9.2,18.97
1058031,Brinjahe,2.54,17.18
1058032,Brodersby,5.19,25.49
1058033,Brügge,4.2,21.43
1058034,"Büdelsdorf, Stadt",1.95,8.37
1058035,Bünsdorf,7.74,17.09
1058036,Christiansholm,6.08,25.69
1058037,Dänischenhagen,3.15,12.07
1058038,Dätgen,8.74,17.79
1058039,Damendorf,6.58,16.09
1058040,Damp,4.21,19.6
1058042,Dörphof,3.56,22.31
1058043,"Eckernförde, Stadt",1.88,6.92
1058044,Ehndorf,4.72,13.13
1058045,Eisendorf,5.1,22.41
1058046,Ellerdorf,5.01,22.43
1058047,Elsdorf-Westermühlen,2.69,18.35
1058048,Embühren,5.26,20.01
1058049,Emkendorf,9.38,22.79
1058050,Felde,3.83,16.05
1058051,Felm,5.08,11.75
1058052,Fleckeby,2.11,10.64
1058053,Flintbek,3.15,17.05
1058054,Fockbek,2.95,9.85
1058055,Friedrichsgraben,12.4,28.23
1058056,Friedrichsholm,8.51,23.67
1058057,Gammelby,4.37,6.92
1058058,Gettorf,2.18,12.63
1058059,Gnutz,5.87,20.99
1058061,Gokels,6.22,23.23
1058062,Grauel,6.45,27.81
1058063,Grevenkrug,6.56,13.85
1058064,Groß Buchwald,4.32,20.8
1058065,Groß Vollstedt,1.76,22.26
1058066,Groß Wittensee,2.94,16.32
1058067,Güby,4.08,14.32
1058068,Haale,7.52,22.41
1058069,Haby,6.21,15.75
1058070,Hamdorf,3.03,21.51
1058071,Hamweddel,3.22,17.02
1058072,Hanerau-Hademarschen,1.74,24.88
1058073,Haßmoor,11.12,20.96
1058074,Heinkenborstel,6.15,24.87
1058075,Hörsten,11.86,18.83
1058076,Hoffeld,6.79,19.8
1058077,Hohenwestedt,2.43,25.84
1058078,Hohn,2.51,16.79
1058080,Holtsee,9.4,17.6
1058081,Holzbunge,5.91,15.52
1058082,Holzdorf,6.85,14.45
1058083,Hütten,8.76,15.29
1058084,Hummelfeld,5.83,14.61
1058085,Jahrsdorf,4.68,20.57
1058086,Jevenstedt,3.8,13.64
1058087,Karby,2.08,21.78
1058088,Klein Wittensee,4.96,17.34
1058089,Königshügel,11.6,23.08
1058090,Kosel,5.13,11.2
1058091,Krogaspe,7.3,15.0
1058092,Kronshagen,1.71,6.84
1058093,Krummwisch,4.64,16.04
1058094,Langwedel,9.57,18.92
1058096,Lindau,5.18,18.32
1058097,Lohe-Föhrden,7.13,14.72
1058098,Loop,5.04,17.46
1058099,Loose,6.76,8.81
1058100,Lütjenwestedt,8.6,27.64
1058101,Luhnstedt,7.75,21.88
1058102,Goosefeld,4.23,12.21
1058103,Meezen,9.62,25.58
1058104,Melsdorf,3.69,10.55
1058105,Mielkendorf,3.18,13.44
1058106,Mörel,6.71,25.55
1058107,Molfsee,1.94,12.79
1058108,Mühbrook,5.31,19.67
1058109,Negenharrie,5.79,18.17
1058110,Neudorf-Bornstein,5.38,15.12
1058111,Neu Duvenstedt,4.86,15.51
1058112,Neuwittenbek,6.81,11.2
1058113,Nienborstel,5.4,21.48
1058115,Nindorf,7.67,24.95
1058116,Noer,7.43,17.73
1058117,"Nortorf, Stadt",2.65,20.16
1058118,Nübbel,7.36,15.35
1058119,Oldenbüttel,7.0,28.93
1058120,Oldenhütten,9.0,23.96
1058121,Osdorf,2.46,15.17
1058122,Ostenfeld (Rendsburg),6.7,17.47
1058123,Osterby,6.74,12.89
1058124,Osterrönfeld,3.44,12.46
1058125,Osterstedt,5.44,26.92
1058126,Ottendorf,4.33,10.6
1058127,Owschlag,3.73,19.56
1058128,Padenstedt,7.39,10.8
1058129,Prinzenmoor,5.9,24.91
1058130,Quarnbek,7.66,14.95
1058131,Rade b. Hohenwestedt,9.14,28.06
1058132,Rade b. Rendsburg,7.57,17.57
1058133,Reesdorf,3.57,20.19
1058134,Remmels,4.99,21.72
1058135,"Rendsburg, Stadt",2.33,6.13
1058136,Rickert,4.17,9.84
1058137,Rieseby,2.84,12.17
1058138,Rodenbek,4.72,13.78
1058139,Rumohr,5.14,14.94
1058140,Schacht-Audorf,2.78,13.4
1058141,Schierensee,8.22,18.32
1058142,Schinkel,2.21,16.76
1058143,Schmalstede,4.96,16.46
1058144,Schönbek,6.44,19.56
1058145,Schönhorst,5.95,15.9
1058146,Schülldorf,5.92,15.94
1058147,Schülp b. Nortorf,4.93,20.38
1058148,Schülp b. Rendsburg,4.88,12.02
1058150,Schwedeneck,7.23,16.05
1058151,Seefeld,8.02,23.83
1058152,Sehestedt,10.02,21.14
1058153,Sören,9.13,16.93
1058154,Sophienhamm,4.43,19.82
1058155,Stafstedt,3.76,17.8
1058156,Steenfeld,4.19,27.36
1058157,Strande,5.78,14.23
1058158,Tackesdorf,10.92,32.7
1058159,Tappendorf,5.96,29.01
1058160,Techelsdorf,4.86,22.42
1058161,Thaden,5.0,21.78
1058162,Thumby,5.65,17.47
1058163,Timmaspe,8.53,17.59
1058164,Todenbüttel,1.81,24.98
1058165,Tüttendorf,4.94,11.3
